path,mzl_label,name,text,edge_masks
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1710_354.png,354,TUM,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1710_354.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1732_184.png,184,SAG OVER SAG,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1732_184.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/8_1756_754.png,754,MESH,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_8_1756_754.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/8_1750_839.png,839,A,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_8_1750_839.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1707_552.png,552,MA,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1707_552.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1737_10.png,10,AN,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1737_10.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1747_736.png,736,DI,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1747_736.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1699_578.png,578,KUR,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1699_578.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1700_596.png,596,UD,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1700_596.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1704_839.png,839,A,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1704_839.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1725_514.png,514,LU2,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1725_514.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1733_24.png,24,KA,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1733_24.png
/storage/rachel/cuneiform-sign-detection-dataset/images/P404881/7_1714_181.png,181,SI,cuneiform single ancient icon,/storage/rachel/cuneiform-sign-detection-dataset/images/edges/P404881_7_1714_181.png
